ug,gr,gi,gz,petroRad_i,petroR50_i,deVAB_i,fracDev_i
1.602081,1.113657,1.542372,2.058641,3.187745,1.415627,0.732804,0.7686414
1.615244,0.8064308,1.195761,1.513008,4.961388,2.347364,0.5761295,0.6104566
1.614811,0.8537426,1.305521,1.599316,5.291888,2.003721,0.9438086,1.0
1.617529,0.5963793,0.601079,0.8475351,1.196685,0.6280814,0.4501165,0.0
1.892881,1.104601,1.582392,1.93639,4.044124,1.6977,0.8379354,1.0
1.002756,0.4181957,0.7418976,0.8822193,3.478611,1.835748,0.88199,0.0
1.633457,0.8297863,1.228786,1.557323,5.411345,2.501674,0.9189625,0.6380339
1.879444,1.137072,1.604259,1.961311,4.710262,2.123683,0.9046503,1.0
0.8288708,0.2164154,0.3840065,0.4975815,5.085358,2.45109,0.6126949,0.1238253
1.735558,0.7807379,1.188073,1.487947,9.702306,4.19853,0.5192701,1.0
0.8899612,1.63694,2.469357,2.946297,3.92507,1.536762,0.5972372,1.0
1.931208,1.035479,1.48184,1.821995,4.849681,2.044814,0.5837789,1.0
1.984154,1.085649,1.531387,1.892086,9.155128,3.567977,0.9342588,1.0
1.970102,1.014496,1.479439,1.851255,2.994657,1.327324,0.3545908,0.9398038
1.480804,0.79006,1.195141,1.473524,3.028073,1.420903,0.4093833,0.4067397
1.746866,0.7903481,1.138784,1.468055,6.479869,2.42484,0.7401513,1.0
2.454302,1.683714,2.420139,2.877214,2.762448,1.107153,0.6839442,1.0
2.152395,1.198399,1.652952,2.034855,3.507464,1.493355,0.5500529,1.0
0.7656174,0.2466679,0.5800152,0.5858574,1.962312,0.9694194,0.7247335,0.3938112
0.0,-10017.78,-10017.15,0.0,3.623221,1.490871,0.6968368,1.0
4.251003,1.888958,2.573656,2.944403,9.752649,1.457842,0.7653788,1.0
1.716084,0.9708138,1.460512,1.82251,4.757281,2.023168,0.2220454,0.7028437
1.212936,1.81772,2.628155,2.999277,4.488919,1.929415,0.8247196,1.0
1.336315,1.739243,2.507721,2.86795,3.792028,1.65872,0.9238263,1.0
3.079836,1.762711,2.560349,2.964531,3.135286,1.206538,0.5120111,1.0
2.0749,1.21242,1.715153,2.051094,4.955772,2.134607,0.9833823,1.0
2.020115,1.068035,1.41468,1.805117,3.46223,1.526533,0.6924131,1.0
2.310595,1.229641,1.697969,2.081337,5.085132,2.077508,0.973233,1.0
1.823879,1.679214,2.310314,2.691669,3.193914,1.401811,0.6472136,1.0
1.92132,0.9554005,1.370296,1.739786,4.078527,1.718141,0.8036345,1.0
3.124727,1.698498,2.363567,2.775837,3.958473,1.642284,0.7530934,1.0
2.256687,1.67417,2.360699,2.771404,5.255934,2.101434,0.7842352,1.0
